ps,sd,ps2,sd2,osize,oaflas,ohsn,cpl,css,cslw,ms,mlw,sw,trq
562,1.18,562/540 ,1.18,2-241 ,1072511,997635,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1.18,562/540 (FS) ,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562,1.18,562/540 (FS) ,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
562 (FS) ,1.18,562/540 ,1.18,2-241 ,1072511,997635,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",68973 (12) ,307223 (12) ,118190 (12) ,310086 (12) ,05-Aug,26
675,1.18,675,1.18,2-246 ,1042639,996108,"207480
100571052 (INC-625)
100752609 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675 (FS) ,1.18,675 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675,1.18,675 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675 (FS) ,1.18,675,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675,1.18,675/738 ,1.18,2-246 ,1042639,996108,"207480
100571052 (INC-625)
100752609 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675,1.18,675/540 ,1.18,2-246 ,1042639,996108,"207480
100571052 (INC-625)
100752609 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675 (FS) ,1.18,675/738 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675 (FS) ,1.18,675/ 540 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675,1.18,675/738 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
675,1.18,675/540 (FS) ,1.18,2-246 ,1042639,996108,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
725,1.18,725,1.18,2-254 ,100004879,7003866,"207480
100571052 (INC-625)
100752609 (INC-718)",7010937 (14) ,311209 (14) ,2003951 (14) ,2003950 (14) ,3/8 Allen ,43
725,1.5,725,1.5,2-254 ,100004879,7003866,1310218,7010937 (14) ,311209 (14) ,2003951 (14) ,2003950 (14) ,3/8 Allen ,43
862,1.37,862,1.37,2-259 ,1072362,997650,"1033802
100570050 (HS) ",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
862,1.37,862/738 ,1.37,2-259 ,1072362,997650,"1033802
100570050 (HS) ",266932 (14) ,307009 (14) ,267427 (14) ,310151 (14) ,03-Apr,43
950,1.5,950,1.5,2-259 ,1072362,997650,213124,105916 (12) ,307025 (12) ,861260 (12) ,824300 (12) ,07-Aug,86
1000,1.75,1000,1.75,2-261 ,100235457,872556,2000647,105916 (12) ,307025 (12) ,861260 (12) ,824300 (12) ,07-Aug,86
1000,1.75,1000/738 ,1.75,2-261 ,100235457,872556,2000647,105916 (12) ,307025 (12) ,861260 (12) ,824300 (12) ,07-Aug,86
